title,genre
Mission: Impossible 7,"Action, Adventure, Thriller"
Untitled Spider-Man Sequel,"Action, Adventure, Sci-Fi"
Dune,"Adventure, Drama, Sci-Fi"
No Time to Die,"Action, Adventure, Thriller"
Black Widow,"Action, Adventure, Sci-Fi"
Venom: Let There Be Carnage,"Action, Horror, Sci-Fi"
Wonder Woman 1984,"Action, Adventure, Fantasy"
A Quiet Place Part II,"Drama, Horror, Sci-Fi"
The Matrix 4,"Action, Sci-Fi"
Eternals,"Action, Adventure, Drama"
Uncharted,"Action, Adventure"
Godzilla vs. Kong,"Action, Sci-Fi, Thriller"
Zack Snyder's Justice League,"Action, Adventure, Fantasy"
The King's Man,"Action, Adventure, Comedy"
Black Adam,"Action, Sci-Fi"
Last Night in Soho,"Drama, Horror, Thriller"
The French Dispatch,"Comedy, Drama, Romance"
Morbius,"Action, Adventure, Drama"
The Suicide Squad,"Action, Adventure, Fantasy"
Fantastic Beasts and Where to Find Them 3,"Adventure, Family, Fantasy"
Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy"
Tomb Raider 2,"Action, Adventure, Fantasy"
The Conjuring: The Devil Made Me Do It,"Horror, Mystery, Thriller"
Ghostbusters: Afterlife,"Comedy, Fantasy"
Sherlock Holmes 3,"Action, Adventure, Mystery"
The Tomorrow War,"Action, Adventure, Sci-Fi"
Spiral,"Crime, Horror, Mystery"
Jungle Cruise,"Action, Adventure, Comedy"
The Black Cat,Action
Chaos Walking,"Adventure, Sci-Fi"
Infinite,"Sci-Fi, Thriller"
Top Gun: Maverick,"Action, Drama"
Untitled Disney Live Action III (2021),Null
F9,"Action, Adventure, Crime"
West Side Story,"Crime, Drama, Musical"
Untitled Russo Brothers Family Film,Null
Untitled Disney Live-Action Project,Family
Tron 3,"Action, Adventure, Sci-Fi"
Untitled Disney Live Action,Null
Pinocchio,"Animation, Fantasy, Musical"
Halloween Kills,"Horror, Thriller"
Hotel Transylvania 4,"Animation, Adventure, Comedy"
The Last Duel,Drama
Untitled Paul Thomas Anderson Project,Drama
Red Notice,"Action, Adventure, Comedy"
Tom Clancy's Without Remorse,"Action, Adventure, Crime"
Connected,"Animation, Adventure, Comedy"
Army of the Dead,"Action, Horror, Sci-Fi"
The Hitman's Wife's Bodyguard,"Action, Adventure, Comedy"
America: The Motion Picture,"Animation, Comedy, History"
Candyman,"Horror, Thriller"
Lamborghini,"Biography, Drama"
Snake Eyes: G.I. Joe Origins,"Action, Adventure, Sci-Fi"
Next Goal Wins,"Comedy, Sport"
The Nun 2,"Horror, Mystery, Thriller"
Raya and the Last Dragon,"Animation, Action, Adventure"
The Stars at Noon,Drama
Minions: The Rise of Gru,"Animation, Adventure, Comedy"
Blonde,"Biography, Drama"
The Unbearable Weight of Massive Talent,Comedy
Mortal Kombat,"Action, Adventure, Fantasy"
Space Jam: A New Legacy,"Animation, Adventure, Comedy"
The 355,"Action, Thriller"
Cinderella,"Comedy, Family, Fantasy"
Untitled Elvis Presley Project,"Biography, Drama, Music"
Blazing Samurai,"Animation, Action, Comedy"
Cruella,"Comedy, Crime"
Old,Thriller
Untitled New Line Horror Film,Null
Untitled Universal Event Film,Null
The Power of the Dog,Drama
Babylon,Drama
Killers of the Flower Moon,"Crime, Drama, History"
Wendell and Wild,"Animation, Comedy, Horror"
Untitled Illumination Entertainment Project,Animation
Untitled Paramount/Hasbro Event Film,Null
Untitled New Line Film,Null
Untitled Universal Event Film,Null
Untitled Blumhouse Productions Project II (2021),Null
Untitled Blumhouse Productions Project I (2021),Null
Macbeth,"Drama, History, War"
Wrath of Man,"Action, Thriller"
Untitled Disney Animation Project,Animation
The Man from Toronto,"Action, Comedy"
Micronauts,"Action, Sci-Fi"
Masters of the Universe,"Action, Adventure, Drama"
Untitled: The Walking Dead Movie,"Drama, Horror, Sci-Fi"
Borderlands,"Action, Adventure, Comedy"
Wicked,"Fantasy, Musical, Romance"
Tom and Jerry,"Animation, Adventure, Comedy"
BIOS,"Drama, Sci-Fi"
Nightmare Alley,"Drama, Mystery, Thriller"
Den of Thieves 2: Pantera,"Action, Crime, Drama"
Gremlins 3,"Comedy, Fantasy, Horror"
Madagascar 4,"Animation, Adventure, Comedy"
Apollo 10 1/2: A Space Age Adventure,"Animation, Adventure, Family"
China Rich Girlfriend,"Comedy, Romance"
"To All the Boys: Always and Forever, Lara Jean","Comedy, Drama, Romance"
The Card Counter,"Drama, Thriller"
The Ice Road,"Action, Thriller"
